ID,STATUS,DATE,TIME
6784,IN,20/05/2022,05:18:17
6354,IN,20/05/2022,05:18:51
6784,OUT,20/05/2022,05:19:24
6784,IN,20/05/2022,05:35:40
6354,IN,20/05/2022,05:35:53
6784,OUT,20/05/2022,05:36:46
6354,IN,20/05/2022,06:51:24
6784,IN,20/05/2022,06:51:44
6354,IN,20/05/2022,07:17:55
6354,OUT,20/05/2022,07:18:36
6354,IN,20/05/2022,07:21:03
6354,OUT,20/05/2022,07:22:01
6784,IN,20/05/2022,07:24:55
6526,IN,20/05/2022,07:25:41
6526,OUT,20/05/2022,07:26:13
6562,IN,20/05/2022,07:27:49
6526,IN,20/05/2022,07:28:24
