ID,STATUS,DATE,TIME
5746,IN,07/04/2022,17:30:55
5746,OUT,07/04/2022,17:31:57
5746,IN,07/04/2022,17:36:31
5746,IN,07/04/2022,17:37:29
5746,IN,07/04/2022,17:51:24
5746,OUT,07/04/2022,17:51:56
5746,IN,07/04/2022,17:54:08
5746,OUT,07/04/2022,17:54:51
5746,IN,07/04/2022,17:55:51
5746,OUT,07/04/2022,17:56:24
5746,IN,07/04/2022,17:53:37
5746,OUT,07/04/2022,17:54:18
5746,IN,07/04/2022,17:54:53
5746,OUT,07/04/2022,17:55:25
5746,IN,07/04/2022,17:56:12
5746,OUT,07/04/2022,17:56:54
5746,IN,07/04/2022,17:58:57
5746,OUT,07/04/2022,17:59:29
5746,IN,07/04/2022,18:00:02
5746,OUT,07/04/2022,18:00:53
5746,IN,07/04/2022,18:01:49
5746,OUT,07/04/2022,18:02:38
N,IN,07/04/2022,18:03:19
5746,IN,07/04/2022,18:03:26
5746,OUT,07/04/2022,18:08:30
5746,IN,07/04/2022,18:09:05
5746,OUT,07/04/2022,18:10:22
5746,IN,07/04/2022,18:12:34
5746,OUT,07/04/2022,18:17:16
5746,IN,07/04/2022,20:01:33
5733,IN,07/04/2022,20:04:54
5746,OUT,07/04/2022,20:05:06
5746,IN,07/04/2022,20:05:38
5746,OUT,07/04/2022,20:06:22
5746,IN,07/04/2022,20:06:55
5746,OUT,07/04/2022,20:07:27
5746,IN,07/04/2022,20:07:59
5746,IN,07/04/2022,20:08:36
5746,OUT,07/04/2022,20:09:45
5746,IN,07/04/2022,20:10:18
5746,IN,07/04/2022,20:15:06
5746,OUT,07/04/2022,20:15:40
5746,IN,07/04/2022,20:16:12
5746,OUT,07/04/2022,20:17:28
"Gooiys
",IN,07/04/2022,20:17:41
5746,IN,07/04/2022,21:12:44
5746,OUT,07/04/2022,21:15:00
5746,IN,07/04/2022,21:15:32
5746,OUT,07/04/2022,21:16:23
5746,IN,07/04/2022,21:16:58
5746,OUT,07/04/2022,21:17:37
5746,IN,07/04/2022,21:18:48
5746,OUT,07/04/2022,21:19:20
5746,IN,07/04/2022,21:22:02
5746,OUT,07/04/2022,21:23:11
5746,IN,07/04/2022,21:26:08
5746,OUT,07/04/2022,21:26:40
5746,IN,07/04/2022,21:27:13
5746,OUT,07/04/2022,21:27:47
5746,IN,07/04/2022,21:28:26
